"Manager","MgrCik","Period","CUSIP","Name","Class","PutCall","Value","Shares"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","87074U101","SWIFT TRANSN CO","CL A","","4793","257261"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","88033G407","TENET HEALTHCARE CORP","COM NEW","","9000","311099"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","88033G407","TENET HEALTHCARE CORP","COM NEW","","34492","1192240"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","88033G407","TENET HEALTHCARE CORP","COM NEW","","14173","489911"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","88033G957","TENET HEALTHCARE CORP","PUT","Put","497","1927"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","88033G957","TENET HEALTHCARE CORP","PUT","Put","2144","8312"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","88033G957","TENET HEALTHCARE CORP","PUT","Put","785","3041"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","881624209","TEVA PHARMACEUTICAL INDS LTD","ADR","","4709","88004"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","91911K102","VALEANT PHARMACEUTICALS INTL","COM","","10480","398464"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","91911K102","VALEANT PHARMACEUTICALS INTL","COM","","43950","1671098"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","91911K102","VALEANT PHARMACEUTICALS INTL","COM","","16463","625974"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","91911K952","VALEANT PHARMACEUTICALS INTL","PUT","Put","2406","3984"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","91911K952","VALEANT PHARMACEUTICALS INTL","PUT","Put","10093","16710"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","91911K952","VALEANT PHARMACEUTICALS INTL","PUT","Put","3780","6259"
"Pennant Capital Management, LLC","0001168664","12-31-2015","G0177J108","ALLERGAN PLC","SHS","","239313","765800"
"Pennant Capital Management, LLC","0001168664","12-31-2015","101137107","BOSTON SCIENTIFIC CORP","COM","","72097","3909834"
"Pennant Capital Management, LLC","0001168664","12-31-2015","109194100","BRIGHT HORIZONS FAM SOL IN D","COM","","70847","1060578"
"Pennant Capital Management, LLC","0001168664","12-31-2015","12646R105","CST BRANDS INC","COM","","104321","2665341"
"Pennant Capital Management, LLC","0001168664","12-31-2015","16411W108","CHENIERE ENERGY PTNRS LP HLD","COM REP LLC IN","","45534","2616900"
"Pennant Capital Management, LLC","0001168664","12-31-2015","21036P108","CONSTELLATION BRANDS INC","CL A","","179051","1257029"
"Pennant Capital Management, LLC","0001168664","12-31-2015","23918K108","DAVITA HEALTHCARE PARTNERS I","COM","","89654","1286097"
"Pennant Capital Management, LLC","0001168664","12-31-2015","247361702","DELTA AIR LINES INC DEL","COM NEW","","83342","1644150"
"Pennant Capital Management, LLC","0001168664","12-31-2015","256746108","DOLLAR TREE INC","COM","","141490","1832298"
"Pennant Capital Management, LLC","0001168664","12-31-2015","269246401","E TRADE FINANCIAL CORP","COM NEW","","55160","1860992"
"Pennant Capital Management, LLC","0001168664","12-31-2015","30050B101","EVOLENT HEALTH INC","CL A","","10691","882829"
"Pennant Capital Management, LLC","0001168664","12-31-2015","339041105","FLEETCOR TECHNOLOGIES INC","COM","","100394","702400"
"Pennant Capital Management, LLC","0001168664","12-31-2015","343412102","FLUOR CORP NEW","COM","","10686","226300"
"Pennant Capital Management, LLC","0001168664","12-31-2015","45256B101","IMPAX LABORATORIES INC","COM","","99271","2321581"
"Pennant Capital Management, LLC","0001168664","12-31-2015","48242W106","KBR INC","COM","","11404","674000"
"Pennant Capital Management, LLC","0001168664","12-31-2015","49456B101","KINDER MORGAN INC DEL","COM","","106044","7107480"
"Pennant Capital Management, LLC","0001168664","12-31-2015","501889208","LKQ CORP","COM","","139118","4695175"
"Pennant Capital Management, LLC","0001168664","12-31-2015","563571108","MANITOWOC INC","COM","","103189","6722407"
"Pennant Capital Management, LLC","0001168664","12-31-2015","56585A102","MARATHON PETE CORP","COM","","135892","2621366"
"Pennant Capital Management, LLC","0001168664","12-31-2015","57722W106","MATTRESS FIRM HLDG CORP","COM","","121322","2718389"
"Pennant Capital Management, LLC","0001168664","12-31-2015","596278101","MIDDLEBY CORP","COM","","137408","1273832"
"Pennant Capital Management, LLC","0001168664","12-31-2015","60871R209","MOLSON COORS BREWING CO","CL B","","195537","2081950"
"Pennant Capital Management, LLC","0001168664","12-31-2015","61166W101","MONSANTO CO NEW","COM","","110287","1119440"
"Pennant Capital Management, LLC","0001168664","12-31-2015","62944T105","NVR INC","COM","","133127","81027"
"Pennant Capital Management, LLC","0001168664","12-31-2015","64115T104","NETSCOUT SYS INC","COM","","36997","1205099"
"Pennant Capital Management, LLC","0001168664","12-31-2015","717081103","PFIZER INC","COM","","97713","3027040"
"Pennant Capital Management, LLC","0001168664","12-31-2015","741503403","PRICELINE GRP INC","COM NEW","","115178","90339"
"Pennant Capital Management, LLC","0001168664","12-31-2015","75281A109","RANGE RES CORP","COM","","84964","3452401"
"Pennant Capital Management, LLC","0001168664","12-31-2015","75605Y106","REALOGY HLDGS CORP","COM","","102057","2783126"
"Pennant Capital Management, LLC","0001168664","12-31-2015","G81276100","SIGNET JEWELERS LIMITED","SHS","","196469","1588401"
"Pennant Capital Management, LLC","0001168664","12-31-2015","87724P106","TAYLOR MORRISON HOME CORP","CL A","","36361","2272557"
"Pennant Capital Management, LLC","0001168664","12-31-2015","87817A107","TEAM HEALTH HOLDINGS INC","COM","","127542","2905943"
"Pennant Capital Management, LLC","0001168664","12-31-2015","893641100","TRANSDIGM GROUP INC","COM","","200747","878736"
"Pennant Capital Management, LLC","0001168664","12-31-2015","910047109","UNITED CONTL HLDGS INC","COM","","112486","1963100"
"Pennant Capital Management, LLC","0001168664","12-31-2015","913837100","UNIVERSAL STAINLESS & ALLOY","COM","","6533","703219"
"Pennant Capital Management, LLC","0001168664","12-31-2015","92927K102","WABCO HLDGS INC","COM","","136525","1335073"
"Pennant Capital Management, LLC","0001168664","12-31-2015","94946T106","WELLCARE HEALTH PLANS INC","COM","","136364","1743556"
"Pennant Capital Management, LLC","0001168664","12-31-2015","983134107","WYNN RESORTS LTD","COM","Call","46288","669000"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","G0177J108","ALLERGAN PLC","SHS","","118304","441382"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","02503Y103","AMERICAN CAP LTD","COM","","58764","3855884"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","026874784","AMERICAN INTL GROUP INC","COM NEW","","70029","1295640"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","044103505","ASHFORD HOSPITALITY TR INC","9% CUM PFD SER E","","1127","47135"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","056752108","BAIDU INC","SPON ADR REP A","","177835","931659"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","14040H105","CAPITAL ONE FINL CORP","COM","","4859","70100"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","12508E101","CDK GLOBAL INC","COM","","54776","1176717"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","12514G108","CDW CORP","COM","","7271","175211"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","172967424","CITIGROUP INC","COM NEW","","138046","3306500"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","174610105","CITIZENS FINL GROUP INC","COM","","140935","6727200"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","19624R403","COLONY CAP INC","CONV PFD-C","","5323","241073"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","20030N101","COMCAST CORP NEW","CL A","","159312","2608249"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","23130C108","CURRENCYSHARES EURO TR","EURO SHS","","10049","90383"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","31428X106","FEDEX CORP","COM","","183760","1129300"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","31428X106","FEDEX CORP","COM","Call","8234","50600"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","38141G104","GOLDMAN SACHS GROUP INC","COM","","50610","322400"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","398905109","GROUP 1 AUTOMOTIVE INC","COM","","16059","273625"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","40412C101","HCA HOLDINGS INC","COM","","168518","2159097"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","457153104","INGRAM MICRO INC","CL A","","103481","2881687"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","45866F104","INTERCONTINENTAL EXCHANGE IN","COM","","80516","342417"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","482539103","KLX INC","COM","","20420","635332"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","57636Q104","MASTERCARD INC","CL A","","122182","1292927"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","66705Y104","NORTHSTAR ASSET MGMT GROUP I","COM","","39597","3488750"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","68389X105","ORACLE CORP","COM","","65998","1613237"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","L72967109","ORION ENGINEERED CARBONS S A","COM","","25032","1772779"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","74736K101","QORVO INC","COM","","23918","474462"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","78463V107","SPDR GOLD TRUST","GOLD SHS","Call","36774","312600"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","88732J207","TIME WARNER CABLE INC","COM","","250837","1225866"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","L9340P101","TRINSEO S A","SHS","","41945","1139506"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","896749108","TRIPLE-S MGMT CORP","CL B","","6631","266715"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","92242Y100","VEDANTA LTD","SPONSORED ADR","","5899","1072482"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","96145D105","WESTROCK CO","COM","","93601","2398172"
"LAKEWOOD CAPITAL MANAGEMENT, LP","0001424381","03-31-2016","92936P100","WMIH CORP","COM","","6480","2769100"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","00548A106","ADAMAS PHARMACEUTICALS INC","COM","","7855","543238"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","G0177J108","ALLERGAN PLC","SHS","","90625","338114"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","037833100","APPLE INC","COM","Call","55411","508400"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","08579W103","BERRY PLASTICS GROUP INC","COM","","120762","3340588"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","Y09827109","BROADCOM LTD","SHS","","121893","788949"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","345605109","FOREST CITY RLTY TR INC","COM CL A","","73224","3471987"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","388689101","GRAPHIC PACKAGING HLDG CO","COM","","65063","5063246"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","44267D107","HOWARD HUGHES CORP","COM","","40478","382268"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","464287655","ISHARES TR","RUSSELL 2000 ETF","Put","55315","500000"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","G5480U120","LIBERTY GLOBAL PLC","SHS CL C","","169432","4510973"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","53071M104","LIBERTY INTERACTIVE CORP","QVC GP COM SER A","","76024","3010852"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","53071M880","LIBERTY INTERACTIVE CORP","LBT VENT COM A","","132242","3380428"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","55608B105","MACQUARIE INFRASTRUCTURE COR","COM","","162537","2410093"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","65336K103","NEXSTAR BROADCASTING GROUP I","CL A","","45206","1021150"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","78388J106","SBA COMMUNICATIONS CORP","COM","","41486","414152"
"Brenner West Capital Advisors, LLC","0001425999","03-31-2016","983793100","XPO LOGISTICS INC","COM","","12728","414606"
"Tiger Eye Capital LLC","0001569175","12-31-2015","00507V109","ACTIVISION BLIZZARD INC","COM","","46278","1195498"
"Tiger Eye Capital LLC","0001569175","12-31-2015","00724F101","ADOBE SYS INC","COM","","31789","338400"
"Tiger Eye Capital LLC","0001569175","12-31-2015","02079K107","ALPHABET INC","CAP STK CL C","","96562","127243"
"Tiger Eye Capital LLC","0001569175","12-31-2015","023135106","AMAZON COM INC","COM","","45506","67327"
"Tiger Eye Capital LLC","0001569175","12-31-2015","053332102","AUTOZONE INC","COM","","31401","42324"
"Tiger Eye Capital LLC","0001569175","12-31-2015","21036P108","CONSTELLATION BRANDS INC","CL A","","46723","328021"
"Tiger Eye Capital LLC","0001569175","12-31-2015","247361702","DELTA AIR LINES INC DEL","COM NEW","","16293","321417"
"Tiger Eye Capital LLC","0001569175","12-31-2015","25278X109","DIAMONDBACK ENERGY INC","COM","","11256","168247"
"Tiger Eye Capital LLC","0001569175","12-31-2015","285512109","ELECTRONIC ARTS INC","COM","","2135","31074"
"Tiger Eye Capital LLC","0001569175","12-31-2015","294429105","EQUIFAX INC","COM","","33053","296786"
"Tiger Eye Capital LLC","0001569175","12-31-2015","29444U700","EQUINIX INC","COM PAR $0.001","","32126","106238"
"Tiger Eye Capital LLC","0001569175","12-31-2015","30303M102","FACEBOOK INC","CL A","","43581","416403"
"Tiger Eye Capital LLC","0001569175","12-31-2015","339041105","FLEETCOR TECHNOLOGIES INC","COM","","31386","219589"
"Tiger Eye Capital LLC","0001569175","12-31-2015","37940X102","GLOBAL PMTS INC","COM","","15744","244051"
"Tiger Eye Capital LLC","0001569175","12-31-2015","42235N108","HEARTLAND PMT SYS INC","COM","","27060","285386"
"Tiger Eye Capital LLC","0001569175","12-31-2015","45866F104","INTERCONTINENTAL EXCHANGE IN","COM","","15804","61673"
"Tiger Eye Capital LLC","0001569175","12-31-2015","53071M880","LIBERTY INTERACTIVE CORP","LBT VENT COM A","","52881","1172264"
"Tiger Eye Capital LLC","0001569175","12-31-2015","57636Q104","MASTERCARD INC","CL A","","45397","466282"
"Tiger Eye Capital LLC","0001569175","12-31-2015","580135101","MCDONALDS CORP","COM","","22342","189111"
"Tiger Eye Capital LLC","0001569175","12-31-2015","608190104","MOHAWK INDS INC","COM","","15094","79700"
"Tiger Eye Capital LLC","0001569175","12-31-2015","776696106","ROPER TECHNOLOGIES INC","COM","","38421","202440"
"Tiger Eye Capital LLC","0001569175","12-31-2015","83001A102","SIX FLAGS ENTMT CORP NEW","COM","","24711","449790"
"Tiger Eye Capital LLC","0001569175","12-31-2015","833034101","SNAP ON INC","COM","","37938","221306"
"Tiger Eye Capital LLC","0001569175","12-31-2015","88023U101","TEMPUR SEALY INTL INC","COM","","29637","420628"
"Tiger Eye Capital LLC","0001569175","12-31-2015","893641100","TRANSDIGM GROUP INC","COM","","31029","135825"
"Tiger Eye Capital LLC","0001569175","12-31-2015","91879Q109","VAIL RESORTS INC","COM","","28952","226202"
"Tiger Eye Capital LLC","0001569175","12-31-2015","92210H105","VANTIV INC","CL A","","49184","1037195"
"Tiger Eye Capital LLC","0001569175","12-31-2015","92826C839","VISA INC","COM CL A","","45536","587179"
"Tiger Eye Capital LLC","0001569175","12-31-2015","98978V103","ZOETIS INC","CL A","","18330","382512"
"Naya Management LLP","0001598015","12-31-2015","000000000","N/A","N/A","","0","0"
